asset_id,source_group,source_path,prompt_path,width,height,fps,source_total_frames,source_duration_sec,raw_start_frame,raw_end_frame_exclusive,safe_start_frame,safe_end_frame_exclusive,safe_duration_sec,cut_in_score,cut_out_score,detector_threshold,detector_confidence,usable_for_beat_edit
A01_f01,00-15_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,0,103,0,97,4.041667,0.000000,4.396000,4.106000,1.070628,1
A01_f02,00-15_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,103,187,109,181,3.000000,4.396000,8.998000,4.106000,2.191427,1
A01_f03,00-15_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,187,216,193,210,0.708333,8.998000,4.818000,4.106000,2.191427,0
A01_f04,00-15_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,216,254,222,248,1.083333,4.818000,10.786000,4.106000,2.626887,1
A01_f05,00-15_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,254,359,260,359,4.125000,10.786000,0.000000,4.106000,2.626887,1
A02_f01,00-15_primary_v2,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00002-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,0,103,0,97,4.041667,0.000000,4.396000,4.106000,1.070628,1
A02_f02,00-15_primary_v2,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00002-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,103,187,109,181,3.000000,4.396000,8.998000,4.106000,2.191427,1
A02_f03,00-15_primary_v2,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00002-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,187,216,193,210,0.708333,8.998000,4.818000,4.106000,2.191427,0
A02_f04,00-15_primary_v2,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00002-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,216,254,222,248,1.083333,4.818000,10.786000,4.106000,2.626887,1
A02_f05,00-15_primary_v2,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00002-audio.mp4,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/1-15秒_prompt.txt,1280,736,24.000000,359,15.075000,254,359,260,359,4.125000,10.786000,0.000000,4.106000,2.626887,1
