edit_index,requested_start_sec,requested_end_sec,global_start_sec,global_end_sec,target_start_frame,target_end_frame_exclusive,target_frames,anchor,asset_id,source_group,source_path,source_in_frame,source_out_frame_exclusive,source_in_sec,source_out_sec,source_window_sec,source_reuse_index,audio_mode,start_error_ms,end_error_ms,notes
1,0.000,2.821,0.000000,2.833333,0,68,68,project_start,A01_f02,00-15_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00001-audio.mp4,109,177,4.541667,7.375000,2.833333,0,lock_source,0.000,12.333,center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
2,2.821,5.608,2.833333,5.625000,68,135,67,onset,A02_f02,00-15_primary_v2,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00002-audio.mp4,109,176,4.541667,7.333333,2.791667,0,lock_source,12.333,17.000,2.821s strength=0.26; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
3,5.608,8.417,5.625000,8.416667,135,202,67,onset,A01_f01,00-15_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00001-audio.mp4,0,67,0.000000,2.791667,2.791667,0,lock_source,17.000,-0.333,5.608s strength=0.39; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
4,8.417,10.774,8.416667,10.791667,202,259,57,onset,A02_f01,00-15_primary_v2,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00002-audio.mp4,0,57,0.000000,2.375000,2.375000,0,lock_source,-0.333,17.667,8.417s strength=0.60; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
5,10.774,13.108,10.791667,13.125000,259,315,56,onset,A01_f05,00-15_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00001-audio.mp4,260,316,10.833333,13.166667,2.333333,0,lock_source,17.667,17.000,10.774s strength=0.36; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
6,13.108,15.441,13.125000,15.458333,315,371,56,onset,A02_f05,00-15_primary_v2,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/1-15秒/output/I_Cant_Wait_GUMI_00-15_00002-audio.mp4,260,316,10.833333,13.166667,2.333333,0,lock_source,17.000,17.333,13.108s strength=0.48; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
7,15.441,18.715,15.458333,18.708333,371,449,78,onset,A04_f04,15-30_retake_15-22,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/16-30秒/output/redo_15-22/I_Cant_Wait_GUMI_15-30_00002-audio.mp4,279,357,11.625000,14.875000,3.250000,0,lock_source,17.333,-6.667,15.441s strength=0.46; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
8,18.715,21.049,18.708333,21.041667,449,505,56,onset,A04_f03,15-30_retake_15-22,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/16-30秒/output/redo_15-22/I_Cant_Wait_GUMI_15-30_00002-audio.mp4,208,264,8.666667,11.000000,2.333333,0,lock_source,-6.667,-7.333,18.715s strength=0.42; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
9,21.049,23.859,21.041667,23.875000,505,573,68,onset,A03_f02,15-30_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/16-30秒/output/I_Cant_Wait_GUMI_15-30_00001-audio.mp4,110,178,4.583333,7.416667,2.833333,0,lock_source,-7.333,16.000,21.049s strength=0.46; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
10,23.859,26.657,23.875000,26.666667,573,640,67,onset,A04_f01,15-30_retake_15-22,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/16-30秒/output/redo_15-22/I_Cant_Wait_GUMI_15-30_00002-audio.mp4,0,67,0.000000,2.791667,2.791667,0,lock_source,16.000,9.667,23.859s strength=0.41; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
11,26.657,29.466,26.666667,29.458333,640,707,67,onset,A03_f01,15-30_primary_v1,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/16-30秒/output/I_Cant_Wait_GUMI_15-30_00001-audio.mp4,0,67,0.000000,2.791667,2.791667,0,lock_source,9.667,-7.667,26.657s strength=0.55; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
12,29.466,32.961,29.458333,32.958333,707,791,84,onset,A05_f01,30-45_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/31-45秒/output/I_Cant_Wait_GUMI_30-45_00001-audio.mp4,0,84,0.000000,3.500000,3.500000,0,lock_source,-7.667,-2.667,29.466s strength=0.36; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
13,32.961,35.527,32.958333,35.541667,791,853,62,onset,A05_f03,30-45_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/31-45秒/output/I_Cant_Wait_GUMI_30-45_00001-audio.mp4,206,268,8.583333,11.166667,2.583333,0,lock_source,-2.667,14.667,32.961s strength=0.46; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
14,35.527,38.127,35.541667,38.125000,853,915,62,onset,A05_f04,30-45_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/31-45秒/output/I_Cant_Wait_GUMI_30-45_00001-audio.mp4,284,346,11.833333,14.416667,2.583333,0,lock_source,14.667,-2.000,35.527s strength=0.39; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
15,38.127,40.438,38.125000,40.458333,915,971,56,onset,A05_f02,30-45_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/31-45秒/output/I_Cant_Wait_GUMI_30-45_00001-audio.mp4,118,174,4.916667,7.250000,2.333333,0,lock_source,-2.000,20.333,38.127s strength=0.52; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
16,40.438,42.551,40.458333,42.541667,971,1021,50,onset,A05_f03,30-45_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/31-45秒/output/I_Cant_Wait_GUMI_30-45_00001-audio.mp4,214,264,8.916667,11.000000,2.083333,1,lock_source,20.333,-9.333,40.438s strength=0.75; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
17,42.551,45.558,42.541667,45.541667,1021,1093,72,onset,A05_f04,30-45_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/31-45秒/output/I_Cant_Wait_GUMI_30-45_00001-audio.mp4,286,358,11.916667,14.916667,3.000000,1,lock_source,-9.333,-16.333,42.551s strength=0.73; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
18,45.558,48.599,45.541667,48.583333,1093,1166,73,onset,A06_f02,45-60_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/46-60秒/output/I_Cant_Wait_GUMI_45-60_00001-audio.mp4,112,185,4.666667,7.708333,3.041667,0,lock_source,-16.333,-15.667,45.558s strength=0.60; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
19,48.599,51.409,48.583333,51.416667,1166,1234,68,onset,A06_f04,45-60_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/46-60秒/output/I_Cant_Wait_GUMI_45-60_00001-audio.mp4,278,346,11.583333,14.416667,2.833333,0,lock_source,-15.667,7.667,48.599s strength=0.92; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
20,51.409,53.766,51.416667,53.750000,1234,1290,56,onset,A06_f03,45-60_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/46-60秒/output/I_Cant_Wait_GUMI_45-60_00001-audio.mp4,200,256,8.333333,10.666667,2.333333,0,lock_source,7.667,-16.000,51.409s strength=0.73; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
21,53.766,56.808,53.750000,56.791667,1290,1363,73,onset,A06_f01,45-60_primary,/Users/apple/Documents/VideoMake/projects/I_Cant_Wait_GUMI_歌曲MV_96s/46-60秒/output/I_Cant_Wait_GUMI_45-60_00001-audio.mp4,0,73,0.000000,3.041667,3.041667,0,lock_source,-16.000,-16.333,53.766s strength=0.61; center_crop 1280x736->1280x720; generated audio discarded; source audio is master clock
