asset_id,source_group,source_path,prompt_path,width,height,fps,source_total_frames,source_duration_sec,asset_index,raw_start_frame,raw_end_frame_exclusive,raw_start_sec,raw_end_sec,safe_start_frame,safe_end_frame_exclusive,safe_start_sec,safe_end_sec,safe_duration_sec,cut_in_score,cut_out_score,detector_threshold,detector_confidence,usable_for_beat_edit,notes
A001,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/1-15秒/情感失色症_00-15_prompt.txt,1280,736,24,361,15.041667,1,0,68,0.000000,2.833333,0,62,0.000000,2.583333,2.583333,0.000000,9.642000,2.500000,0.9642,yes,boundary edge
A002,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/1-15秒/情感失色症_00-15_prompt.txt,1280,736,24,361,15.041667,2,68,122,2.833333,5.083333,74,116,3.083333,4.833333,1.750000,9.642000,8.807000,2.500000,0.9642,yes,transition guard applied
A003,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/1-15秒/情感失色症_00-15_prompt.txt,1280,736,24,361,15.041667,3,122,171,5.083333,7.125000,128,165,5.333333,6.875000,1.541667,8.807000,12.551000,2.500000,1.0000,yes,transition guard applied
A004,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/1-15秒/情感失色症_00-15_prompt.txt,1280,736,24,361,15.041667,4,171,231,7.125000,9.625000,177,225,7.375000,9.375000,2.000000,12.551000,10.862000,2.500000,1.0000,yes,transition guard applied
A005,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/1-15秒/情感失色症_00-15_prompt.txt,1280,736,24,361,15.041667,5,231,268,9.625000,11.166667,237,262,9.875000,10.916667,1.041667,10.862000,8.588000,2.500000,1.0000,yes,transition guard applied
A006,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/1-15秒/情感失色症_00-15_prompt.txt,1280,736,24,361,15.041667,6,268,361,11.166667,15.041667,274,361,11.416667,15.041667,3.625000,8.588000,0.000000,2.500000,0.8588,yes,boundary edge
A007,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/15-30_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/15-30秒/情感失色症_15-30_prompt.txt,1280,736,24,358,14.916667,1,0,46,0.000000,1.916667,0,40,0.000000,1.666667,1.666667,0.000000,7.320000,2.879600,0.7320,yes,boundary edge
A008,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/15-30_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/15-30秒/情感失色症_15-30_prompt.txt,1280,736,24,358,14.916667,2,46,102,1.916667,4.250000,52,96,2.166667,4.000000,1.833333,7.320000,9.124000,2.879600,0.9124,yes,transition guard applied
A009,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/15-30_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/15-30秒/情感失色症_15-30_prompt.txt,1280,736,24,358,14.916667,3,102,170,4.250000,7.083333,108,164,4.500000,6.833333,2.333333,9.124000,6.637000,2.879600,0.9124,yes,transition guard applied
A010,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/15-30_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/15-30秒/情感失色症_15-30_prompt.txt,1280,736,24,358,14.916667,4,170,226,7.083333,9.416667,176,220,7.333333,9.166667,1.833333,6.637000,8.277000,2.879600,0.8277,yes,transition guard applied
A011,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/15-30_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/15-30秒/情感失色症_15-30_prompt.txt,1280,736,24,358,14.916667,5,226,282,9.416667,11.750000,232,276,9.666667,11.500000,1.833333,8.277000,2.979000,2.879600,0.8277,yes,transition guard applied
A012,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/15-30_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/15-30秒/情感失色症_15-30_prompt.txt,1280,736,24,358,14.916667,6,282,358,11.750000,14.916667,288,358,12.000000,14.916667,2.916667,2.979000,0.000000,2.879600,0.2979,yes,boundary edge
A013,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/30-45_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/30-45秒/情感失色症_30-45_prompt.txt,1280,736,24,358,14.916667,1,0,50,0.000000,2.083333,0,44,0.000000,1.833333,1.833333,0.000000,11.900000,4.425280,1.0000,yes,boundary edge
