edit_index,global_start_sec,global_end_sec,requested_start_sec,requested_end_sec,target_start_frame,target_end_frame_exclusive,target_frames,target_duration_sec,anchor,asset_id,source_group,source_path,source_in_frame,source_out_frame_exclusive,source_in_sec,source_out_sec,source_window_sec,source_reuse_index,audio_mode,start_error_ms,end_error_ms,notes
1,0.000000,3.166667,0.000000,3.179000,0,76,76,3.166667,opening,A019,legacy_short_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output_4090D-48G/shot_01_00001-audio.mp4,7,83,0.291667,3.458333,3.166667,1,lock_source,0.000,-12.333,source transition guard respected; final cut is frame hard-cut
2,3.166667,5.208333,3.179000,5.227000,76,125,49,2.041667,beat,A020,legacy_short_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output_4090D-48G/shot_02_00001-audio.mp4,2,51,0.083333,2.125000,2.041667,1,lock_source,-12.333,-18.667,source transition guard respected; final cut is frame hard-cut
3,5.208333,7.458333,5.227000,7.445000,125,179,54,2.250000,onset,A029,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_06_00001-audio.mp4,9,63,0.375000,2.625000,2.250000,1,lock_source,-18.667,13.333,source transition guard respected; final cut is frame hard-cut
4,7.458333,10.291667,7.445000,10.283000,179,247,68,2.833333,onset,A031,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_08_00001-audio.mp4,2,70,0.083333,2.916667,2.833333,1,lock_source,13.333,8.667,source transition guard respected; final cut is frame hard-cut
5,10.291667,12.041667,10.283000,12.032000,247,289,42,1.750000,beat,A002,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,74,116,3.083333,4.833333,1.750000,1,lock_source,8.667,9.667,source transition guard respected; final cut is frame hard-cut
6,12.041667,15.000000,12.032000,15.000000,289,360,71,2.958333,beat,A006,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,282,353,11.750000,14.708333,2.958333,1,lock_source,9.667,0.000,source transition guard respected; final cut is frame hard-cut
7,15.000000,17.083333,15.000000,17.077000,360,410,50,2.083333,segment_boundary,A024,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_02_00001-audio.mp4,1,51,0.041667,2.125000,2.083333,1,lock_source,0.000,6.333,source transition guard respected; final cut is frame hard-cut
8,17.083333,19.625000,17.077000,19.605000,410,471,61,2.541667,beat,A012,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/15-30_00001-audio.mp4,292,353,12.166667,14.708333,2.541667,1,lock_source,6.333,20.000,source transition guard respected; final cut is frame hard-cut
9,19.625000,22.750000,19.605000,22.752000,471,546,75,3.125000,beat,A015,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/30-45_00001-audio.mp4,133,208,5.541667,8.666667,3.125000,1,lock_source,20.000,-2.000,source transition guard respected; final cut is frame hard-cut
10,22.750000,25.291667,22.752000,25.280000,546,607,61,2.541667,beat,A017,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/45-60_00001-audio.mp4,1,62,0.041667,2.583333,2.541667,1,lock_source,-2.000,11.667,source transition guard respected; final cut is frame hard-cut
11,25.291667,27.791667,25.280000,27.808000,607,667,60,2.500000,beat,A018,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/45-60_00001-audio.mp4,188,248,7.833333,10.333333,2.500000,1,lock_source,11.667,-16.333,source transition guard respected; final cut is frame hard-cut
12,27.791667,30.000000,27.808000,30.000000,667,720,53,2.208333,beat,A028,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_05_00001-audio.mp4,0,53,0.000000,2.208333,2.208333,1,lock_source,-16.333,0.000,source transition guard respected; final cut is frame hard-cut
13,30.000000,32.208333,30.000000,32.224000,720,773,53,2.208333,segment_boundary,A033,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_09_00001-audio.mp4,34,87,1.416667,3.625000,2.208333,1,lock_source,0.000,-15.667,source transition guard respected; final cut is frame hard-cut
14,32.208333,34.750000,32.224000,34.752000,773,834,61,2.541667,beat,A034,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_10_00001-audio.mp4,6,67,0.250000,2.791667,2.541667,1,lock_source,-15.667,-2.000,source transition guard respected; final cut is frame hard-cut
15,34.750000,37.291667,34.752000,37.280000,834,895,61,2.541667,beat,A016,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/30-45_00001-audio.mp4,267,328,11.125000,13.666667,2.541667,1,lock_source,-2.000,11.667,source transition guard respected; final cut is frame hard-cut
16,37.291667,39.791667,37.280000,39.808000,895,955,60,2.500000,beat,A001,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,1,61,0.041667,2.541667,2.500000,1,lock_source,11.667,-16.333,source transition guard respected; final cut is frame hard-cut
17,39.791667,42.333333,39.808000,42.336000,955,1016,61,2.541667,beat,A023,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_01_00001-audio.mp4,14,75,0.583333,3.125000,2.541667,1,lock_source,-16.333,-2.667,source transition guard respected; final cut is frame hard-cut
18,42.333333,45.000000,42.336000,45.000000,1016,1080,64,2.666667,beat,A015,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/30-45_00001-audio.mp4,116,180,4.833333,7.500000,2.666667,2,lock_source,-2.667,0.000,source transition guard respected; final cut is frame hard-cut
19,45.000000,48.041667,45.000000,48.021000,1080,1153,73,3.041667,segment_boundary,A006,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/00-15_00001-audio.mp4,274,347,11.416667,14.458333,3.041667,2,lock_source,0.000,20.667,source transition guard respected; final cut is frame hard-cut
