global_start,global_end,duration,segment,local_cut,anchor
0.000,3.179,3.179,00-15,0.000,opening
3.179,5.227,2.048,00-15,3.179,beat
5.227,7.445,2.218,00-15,5.227,onset
7.445,10.283,2.838,00-15,7.445,onset
10.283,12.032,1.749,00-15,10.283,beat
12.032,15.000,2.968,00-15,12.032,beat
15.000,17.077,2.077,15-30,0.000,segment_boundary
17.077,19.605,2.528,15-30,2.077,beat
19.605,22.752,3.147,15-30,4.605,beat
22.752,25.280,2.528,15-30,7.752,beat
25.280,27.808,2.528,15-30,10.280,beat
27.808,30.000,2.192,15-30,12.808,beat
30.000,32.224,2.224,30-45,0.000,segment_boundary
32.224,34.752,2.528,30-45,2.224,beat
34.752,37.280,2.528,30-45,4.752,beat
37.280,39.808,2.528,30-45,7.280,beat
39.808,42.336,2.528,30-45,9.808,beat
42.336,45.000,2.664,30-45,12.336,beat
45.000,48.021,3.021,45-60,0.000,segment_boundary
48.021,51.179,3.158,45-60,3.021,beat
51.179,54.176,2.997,45-60,6.179,beat
54.176,56.693,2.517,45-60,9.176,beat
56.693,60.000,3.307,45-60,11.693,beat
