shot,global_start,global_end,target_duration,generation_duration,audio_file,prompt_file,workflow_file
1,0.000000,3.179000,3.179000,3.179000,lock_source_shot_01.wav,shot_01_prompt.txt,shot_01_workflow_api.json
2,3.179000,5.227000,2.048000,2.048000,lock_source_shot_02.wav,shot_02_prompt.txt,shot_02_workflow_api.json
3,5.227000,7.445000,2.218000,2.218000,lock_source_shot_03.wav,shot_03_prompt.txt,shot_03_workflow_api.json
4,7.445000,10.283000,2.838000,2.838000,lock_source_shot_04.wav,shot_04_prompt.txt,shot_04_workflow_api.json
5,10.283000,12.032000,1.749000,2.000000,lock_source_shot_05.wav,shot_05_prompt.txt,shot_05_workflow_api.json
6,12.032000,15.000000,2.968000,2.968000,lock_source_shot_06.wav,shot_06_prompt.txt,shot_06_workflow_api.json
7,15.000000,17.077000,2.077000,2.077000,lock_source_shot_07.wav,shot_07_prompt.txt,shot_07_workflow_api.json
8,17.077000,19.605000,2.528000,2.528000,lock_source_shot_08.wav,shot_08_prompt.txt,shot_08_workflow_api.json
9,19.605000,22.752000,3.147000,3.147000,lock_source_shot_09.wav,shot_09_prompt.txt,shot_09_workflow_api.json
10,22.752000,25.280000,2.528000,2.528000,lock_source_shot_10.wav,shot_10_prompt.txt,shot_10_workflow_api.json
11,25.280000,27.808000,2.528000,2.528000,lock_source_shot_11.wav,shot_11_prompt.txt,shot_11_workflow_api.json
12,27.808000,30.000000,2.192000,2.192000,lock_source_shot_12.wav,shot_12_prompt.txt,shot_12_workflow_api.json
13,30.000000,32.224000,2.224000,2.224000,lock_source_shot_13.wav,shot_13_prompt.txt,shot_13_workflow_api.json
14,32.224000,34.752000,2.528000,2.528000,lock_source_shot_14.wav,shot_14_prompt.txt,shot_14_workflow_api.json
15,34.752000,37.280000,2.528000,2.528000,lock_source_shot_15.wav,shot_15_prompt.txt,shot_15_workflow_api.json
16,37.280000,39.808000,2.528000,2.528000,lock_source_shot_16.wav,shot_16_prompt.txt,shot_16_workflow_api.json
17,39.808000,42.336000,2.528000,2.528000,lock_source_shot_17.wav,shot_17_prompt.txt,shot_17_workflow_api.json
18,42.336000,45.000000,2.664000,2.664000,lock_source_shot_18.wav,shot_18_prompt.txt,shot_18_workflow_api.json
19,45.000000,48.021000,3.021000,3.021000,lock_source_shot_19.wav,shot_19_prompt.txt,shot_19_workflow_api.json
20,48.021000,51.179000,3.158000,3.158000,lock_source_shot_20.wav,shot_20_prompt.txt,shot_20_workflow_api.json
21,51.179000,54.176000,2.997000,2.997000,lock_source_shot_21.wav,shot_21_prompt.txt,shot_21_workflow_api.json
22,54.176000,56.693000,2.517000,2.517000,lock_source_shot_22.wav,shot_22_prompt.txt,shot_22_workflow_api.json
23,56.693000,60.000000,3.307000,3.307000,lock_source_shot_23.wav,shot_23_prompt.txt,shot_23_workflow_api.json
